Date,SharePrice,ExDiv,DivPay,DivPeriod,FwdDiv,FwdDivYield
1998-01-02,16.39,,0.0,4,0.0,0.0
1998-01-05,16.3,,0.0,4,0.0,0.0
1998-01-06,16.39,,0.0,4,0.0,0.0
1998-01-07,16.2,,0.0,4,0.0,0.0
1998-01-08,16.31,,0.0,4,0.0,0.0
1998-01-09,16.14,,0.0,4,0.0,0.0
1998-01-12,16.19,,0.0,4,0.0,0.0
1998-01-13,16.52,,0.0,4,0.0,0.0
1998-01-14,16.39,,0.0,4,0.0,0.0
1998-01-15,16.54,,0.0,4,0.0,0.0
1998-01-16,16.91,,0.0,4,0.0,0.0
1998-01-20,17.23,,0.0,4,0.0,0.0
1998-01-21,17.13,,0.0,4,0.0,0.0
1998-01-22,17.33,,0.0,4,0.0,0.0
1998-01-23,17.28,,0.0,4,0.0,0.0
1998-01-26,17.72,,0.0,4,0.0,0.0
1998-01-27,18.15,,0.0,4,0.0,0.0
1998-01-28,18.63,,0.0,4,0.0,0.0
1998-01-29,18.52,,0.0,4,0.0,0.0
1998-01-30,18.65,,0.0,4,0.0,0.0
1998-02-02,19.36,,0.0,4,0.0,0.0
1998-02-03,19.49,,0.0,4,0.0,0.0
1998-02-04,19.6,,0.0,4,0.0,0.0
1998-02-05,19.43,,0.0,4,0.0,0.0
1998-02-06,19.77,,0.0,4,0.0,0.0
1998-02-09,19.65,,0.0,4,0.0,0.0
1998-02-10,19.91,,0.0,4,0.0,0.0
1998-02-11,19.87,,0.0,4,0.0,0.0
1998-02-12,19.84,,0.0,4,0.0,0.0
1998-02-13,19.69,,0.0,4,0.0,0.0
1998-02-17,19.3,,0.0,4,0.0,0.0
1998-02-18,19.33,,0.0,4,0.0,0.0
1998-02-19,19.36,,0.0,4,0.0,0.0
1998-02-20,19.39,,0.0,4,0.0,0.0
1998-02-23,20.41,,0.0,4,0.0,0.0
1998-02-24,20.53,,0.0,4,0.0,0.0
1998-02-25,21.24,,0.0,4,0.0,0.0
1998-02-26,21.38,,0.0,4,0.0,0.0
1998-02-27,21.19,,0.0,4,0.0,0.0
1998-03-02,20.84,,0.0,4,0.0,0.0
1998-03-03,21.13,,0.0,4,0.0,0.0
1998-03-04,20.58,,0.0,4,0.0,0.0
1998-03-05,20.02,,0.0,4,0.0,0.0
1998-03-06,20.64,,0.0,4,0.0,0.0
1998-03-09,19.9,,0.0,4,0.0,0.0
1998-03-10,20.38,,0.0,4,0.0,0.0
1998-03-11,20.17,,0.0,4,0.0,0.0
1998-03-12,20.47,,0.0,4,0.0,0.0
1998-03-13,20.59,,0.0,4,0.0,0.0
1998-03-16,20.5,,0.0,4,0.0,0.0
1998-03-17,20.09,,0.0,4,0.0,0.0
1998-03-18,20.44,,0.0,4,0.0,0.0
1998-03-19,20.5,,0.0,4,0.0,0.0
1998-03-20,20.45,,0.0,4,0.0,0.0
1998-03-23,20.97,,0.0,4,0.0,0.0
1998-03-24,21.24,,0.0,4,0.0,0.0
1998-03-25,22.2,,0.0,4,0.0,0.0
1998-03-26,22.06,,0.0,4,0.0,0.0
1998-03-27,21.95,,0.0,4,0.0,0.0
1998-03-30,22.38,,0.0,4,0.0,0.0
1998-03-31,22.38,,0.0,4,0.0,0.0
1998-04-01,22.59,,0.0,4,0.0,0.0
1998-04-02,22.83,,0.0,4,0.0,0.0
1998-04-03,23.25,,0.0,4,0.0,0.0
1998-04-06,22.49,,0.0,4,0.0,0.0
1998-04-07,21.81,,0.0,4,0.0,0.0
1998-04-08,22.11,,0.0,4,0.0,0.0
1998-04-09,22.25,,0.0,4,0.0,0.0
1998-04-13,22.16,,0.0,4,0.0,0.0
1998-04-14,22.11,,0.0,4,0.0,0.0
1998-04-15,22.84,,0.0,4,0.0,0.0
1998-04-16,22.92,,0.0,4,0.0,0.0
1998-04-17,22.99,,0.0,4,0.0,0.0
1998-04-20,23.66,,0.0,4,0.0,0.0
1998-04-21,23.72,,0.0,4,0.0,0.0
1998-04-22,24.69,,0.0,4,0.0,0.0
1998-04-23,23.63,,0.0,4,0.0,0.0
1998-04-24,23.03,,0.0,4,0.0,0.0
1998-04-27,22.58,,0.0,4,0.0,0.0
1998-04-28,22.47,,0.0,4,0.0,0.0
1998-04-29,22.63,,0.0,4,0.0,0.0
1998-04-30,22.53,,0.0,4,0.0,0.0
1998-05-01,22.41,,0.0,4,0.0,0.0
1998-05-04,22.02,,0.0,4,0.0,0.0
1998-05-05,21.94,,0.0,4,0.0,0.0
1998-05-06,21.59,,0.0,4,0.0,0.0
1998-05-07,20.84,,0.0,4,0.0,0.0
1998-05-08,21.44,,0.0,4,0.0,0.0
1998-05-11,21.06,,0.0,4,0.0,0.0
1998-05-12,21.42,,0.0,4,0.0,0.0
1998-05-13,21.73,,0.0,4,0.0,0.0
1998-05-14,22.24,,0.0,4,0.0,0.0
1998-05-15,22.36,,0.0,4,0.0,0.0
1998-05-18,21.52,,0.0,4,0.0,0.0
1998-05-19,21.63,,0.0,4,0.0,0.0
1998-05-20,21.44,,0.0,4,0.0,0.0
1998-05-21,21.64,,0.0,4,0.0,0.0
1998-05-22,21.45,,0.0,4,0.0,0.0
1998-05-26,20.91,,0.0,4,0.0,0.0
1998-05-27,21.5,,0.0,4,0.0,0.0
1998-05-28,21.55,,0.0,4,0.0,0.0
1998-05-29,21.2,,0.0,4,0.0,0.0
1998-06-01,20.94,,0.0,4,0.0,0.0
1998-06-02,21.38,,0.0,4,0.0,0.0
1998-06-03,21.05,,0.0,4,0.0,0.0
1998-06-04,21.52,,0.0,4,0.0,0.0
1998-06-05,21.56,,0.0,4,0.0,0.0
1998-06-08,21.42,,0.0,4,0.0,0.0
1998-06-09,21.77,,0.0,4,0.0,0.0
1998-06-10,21.5,,0.0,4,0.0,0.0
1998-06-11,21.33,,0.0,4,0.0,0.0
1998-06-12,21.44,,0.0,4,0.0,0.0
1998-06-15,21.49,,0.0,4,0.0,0.0
1998-06-16,22.49,,0.0,4,0.0,0.0
1998-06-17,22.77,,0.0,4,0.0,0.0
1998-06-18,22.8,,0.0,4,0.0,0.0
1998-06-19,23.67,,0.0,4,0.0,0.0
1998-06-22,23.95,,0.0,4,0.0,0.0
1998-06-23,25.19,,0.0,4,0.0,0.0
1998-06-24,26.24,,0.0,4,0.0,0.0
1998-06-25,25.39,,0.0,4,0.0,0.0
1998-06-26,26.11,,0.0,4,0.0,0.0
1998-06-29,26.86,,0.0,4,0.0,0.0
1998-06-30,27.09,,0.0,4,0.0,0.0
1998-07-01,27.34,,0.0,4,0.0,0.0
1998-07-02,26.81,,0.0,4,0.0,0.0
1998-07-06,26.95,,0.0,4,0.0,0.0
1998-07-07,26.99,,0.0,4,0.0,0.0
1998-07-08,27.47,,0.0,4,0.0,0.0
